ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent,ProductCategory_Laptops,ProductCategory_Smart Watches,ProductCategory_Smartphones,ProductCategory_Tablets,ProductBrand_HP,ProductBrand_Other Brands,ProductBrand_Samsung,ProductBrand_Sony,PriceRange_Low,PriceRange_Medium,PriceRange_High,PriceRange_Very High,Cluster
312.94966810515353,18,0,2,1,0,False,False,True,False,False,True,False,False,False,False,False,False,0
980.3894043187454,35,1,7,2,1,False,True,False,False,False,False,True,False,True,False,False,False,2
2606.718292835622,63,0,1,5,1,False,False,False,True,False,False,True,False,False,False,False,True,2
870.3954502496597,63,1,10,3,1,False,False,True,False,False,False,True,False,True,False,False,False,2
1798.9558746776083,57,0,17,3,0,False,False,False,True,False,False,False,True,False,True,False,False,3
373.1483247868712,37,1,8,1,1,False,False,True,False,False,False,True,False,False,False,False,False,2
2330.036775244811,26,1,5,5,1,False,False,True,False,False,False,True,False,False,False,True,False,2
780.1014938488929,35,0,12,5,1,False,False,True,False,True,False,False,False,True,False,False,False,1
2264.5615834054943,19,1,3,4,1,True,False,False,False,False,True,False,False,False,False,True,False,0
1001.6240058234738,66,1,8,4,1,True,False,False,False,True,False,False,False,True,False,False,False,1
879.1223675529482,20,1,1,3,0,False,False,True,False,False,True,False,False,True,False,False,False,0
1563.857731658311,38,1,14,2,1,True,False,False,False,False,False,False,False,False,True,False,False,0
1297.3669317328886,48,0,1,3,0,False,False,False,True,False,False,True,False,False,True,False,False,2
1756.8383091267897,62,0,2,5,1,False,False,False,False,False,False,False,True,False,True,False,False,3
2486.693286619063,54,0,12,4,1,False,False,False,False,False,False,False,False,False,False,False,True,1
1280.4560806972363,33,0,1,2,0,False,False,False,True,True,False,False,False,False,True,False,False,1
2388.495395185978,29,1,3,4,1,False,False,False,True,False,False,True,False,False,False,False,True,2
420.7798214919339,26,0,16,1,0,False,False,True,False,False,False,False,False,False,False,False,False,0
1224.1746781069862,28,0,4,5,0,False,False,False,True,False,False,False,False,True,False,False,False,0
2441.4327370561437,43,0,5,5,1,False,True,False,False,False,False,True,False,False,False,False,True,2
1073.0660159873928,58,0,4,3,0,False,False,True,False,False,True,False,False,True,False,False,False,0
2815.031730919124,34,0,12,2,0,False,False,False,False,True,False,False,False,False,False,False,True,1
206.6678154064927,65,0,18,4,1,True,False,False,False,True,False,False,False,False,False,False,False,1
374.5263838112923,67,1,7,5,1,False,False,False,False,True,False,False,False,False,False,False,False,1
835.6847452912937,23,0,17,2,0,False,False,False,False,False,True,False,False,True,False,False,False,0
887.2720459258376,61,1,10,1,1,True,False,False,False,True,False,False,False,True,False,False,False,1
2158.442394780764,58,1,12,4,1,False,False,False,True,False,False,True,False,False,False,True,False,2
1581.9731763039106,64,0,5,5,1,False,False,True,False,False,False,False,False,False,True,False,False,0
2096.8888459460813,37,0,18,1,0,False,True,False,False,True,False,False,False,False,False,True,False,1
2106.7327650499637,55,0,15,5,1,False,False,False,False,False,False,False,False,False,False,True,False,1
2697.271509962217,56,1,10,2,1,False,False,True,False,False,True,False,False,False,False,False,True,0
1342.5833893635877,28,1,17,4,1,False,False,False,True,True,False,False,False,False,True,False,False,1
2633.699012968075,42,0,2,2,0,False,False,False,True,False,True,False,False,False,False,False,True,0
958.3976167280938,57,1,2,2,1,False,False,True,False,False,False,False,False,True,False,False,False,0
2417.0329199644775,39,1,9,4,1,False,False,True,False,False,False,False,False,False,False,False,True,1
1678.2869837094277,50,0,14,5,1,False,False,True,False,True,False,False,False,False,True,False,False,1
2522.5280253448286,52,1,14,5,1,False,False,False,False,False,True,False,False,False,False,False,True,0
1440.0111227950945,50,1,1,2,1,False,False,False,True,False,True,False,False,False,True,False,False,0
322.67334163205305,40,0,7,3,0,True,False,False,False,False,False,True,False,False,False,False,False,2
688.2640303377825,41,0,10,2,0,False,True,False,False,False,False,True,False,True,False,False,False,2
947.0584631657032,29,1,18,2,0,False,True,False,False,True,False,False,False,True,False,False,False,1
2265.9182058536057,65,1,19,2,1,False,True,False,False,True,False,False,False,False,False,True,False,1
1951.991750219611,30,1,2,1,0,False,False,False,True,False,True,False,False,False,False,True,False,0
